#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
488,15,https://www.iii.org/insuranceindustryblog/let-the-games-begin-london2012/,"Let the Games Begin #London2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",240,8,http://www.munichre.com/en/reinsurance/topics-online/2012/03/olympic-games/default.aspx,Dofollow,,"Munich Re carries a substantial portion of this risk. If the Games were called off, Munich Re would provide cover of around Ã¢”š ¬350 million [$425.5 million] through several policies. Guaranteeing this amount of cover requires not just financial strength, but also the necessary expertise to allow the risk to be assessed and managed in the best possible way.”",,404,2020-04-11 01:29:40,2020-04-01T22:06:38Z,
489,14,https://www.iii.org/insuranceindustryblog/tag/international-insurance-society/,"International Insurance Society | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",245,29,http://www3.asiainsurancereview.com/,Dofollow,"the goings-on at IIS Global Forum, Asia Insurance Review (",AIR,") offers gavel-to-gavel coverage of the event, as well as",404,2020-04-17 01:48:38,2020-04-07T14:58:24Z,
489,14,https://www.iii.org/insuranceindustryblog/tag/international-insurance-society/,"International Insurance Society | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",245,29,https://www.swissre.com/media/news_releases/Underinsurance_in_property_is_a_global_and_growing_challenge_says_latest_Swiss_Re_isigmai_study.html,Dofollow,According to,Swiss Re research,", the global natural catastrophe property protection gap has risen",404,2020-04-08 11:24:57,2020-04-07T14:58:24Z,
489,14,https://www.iii.org/insuranceindustryblog/tag/international-insurance-society/,"International Insurance Society | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",245,29,https://www.internationalinsurance.org/idf/,Dofollow,Wales to open the Day 3 Insurance Development Forum (,IDF,) in which he outlines four key areas where insurance,404,2020-04-07 12:30:58,2020-04-07T14:58:24Z,
489,14,https://www.iii.org/insuranceindustryblog/tag/international-insurance-society/,"International Insurance Society | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",245,29,https://www.internationalinsurance.org/events/global-insurance-forum/london-2017/panels/welcome-address/hrh-the-prince-of-wales-welcome-address/,Dofollow,A,video address from HRH The Prince of Wales,to open the Day 3 Insurance Development Forum ( IDF,404,2020-03-24 16:23:05,2020-04-07T14:58:24Z,
489,14,https://www.iii.org/insuranceindustryblog/tag/international-insurance-society/,"International Insurance Society | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",245,29,https://www.internationalinsurance.org/events/global-insurance-forum/london-2017/about-the-forum/,Dofollow,"(GIF), given that the event’s focus was set squarely on",Global Resilience and the Role of Insurance,.,404,2020-03-18 00:19:47,2020-04-07T14:58:24Z,
489,14,https://www.iii.org/insuranceindustryblog/tag/international-insurance-society/,"International Insurance Society | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",245,29,http://www3.asiainsurancereview.com/Archives/Conference-Dailies/GIF-Daily,Dofollow,"IIS Global Forum, Asia Insurance Review ( AIR ) offers",gavel-to-gavel coverage,"of the event, as well as valuable insights from Forum",404,2020-03-17 04:24:27,2020-04-07T14:58:24Z,
490,14,https://www.iii.org/insuranceindustryblog/swiss-re-lack-of-insurance-cover-an-issue-in-many-countries/,"Swiss Re: Lack of Insurance Cover An Issue in Many Countries | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,6,https://www.swissre.com/media/news_releases/Insured_losses_from_disasters_below_average_in_2014.html,Dofollow,,"In spite of high exposure to seismic risk, insurance take-up in San Francisco County and California state generally is still very low, even for commercial properties. That’s why insured losses, in certain areas, can be surprisingly low when disaster events happen.”",,404,2020-04-08 02:24:15,2020-04-01T20:39:58Z,
491,14,https://www.iii.org/insuranceindustryblog/political-risk-rising/,"Political Risk Rising | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,5,https://www.aon.com/risk-services/political-risk-map/index.html,Dofollow,"Iceland and Greece serve as early warnings, according to the",16th annual Political Risk Map produced by Aon,. In its ranking of the political risk of 209,404,2020-03-25 11:20:58,2020-04-09T03:33:01Z,
492,14,https://www.iii.org/insuranceindustryblog/man-made-disasters-global-impact/,"Man-Made Disasters, Global Impact | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",239,15,https://www.munichre.com/en/reinsurance/magazine/topics-online/2015/08/explosion-tianjin/index.html,Dofollow,,"Such losses (from explosion) are difficult to model, but are comparable to modeling terrorism losses. For large port facilities, we thus analyze not only natural hazards such as flooding, earthquake or hail, but also this type of scenario.”",,404,2020-04-19 02:31:35,2020-04-14T04:59:06Z,
493,14,https://www.iii.org/insuranceindustryblog/securities-class-action-filings-accelerate/,"Securities Class Action Filings Accelerate | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",240,8,https://www.nera.com/67_7118.htm,Dofollow,The,just-released annual report from NERA Economic Consulting,shows that filings are projected to reach 239 cases by,404,2020-04-04 06:53:32,2020-04-15T23:26:47Z,
493,14,https://www.iii.org/insuranceindustryblog/securities-class-action-filings-accelerate/,"Securities Class Action Filings Accelerate | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",240,8,https://www.dandodiary.com/2010/12/articles/securities-litigation/nera-releases-yearend-2010-securities-class-action-litigation-study/,Dofollow,Check out,Kevin LaCroixÃ¢â‚¬â„¢s D&O Diary blog,for more analysis of the NERA findings.,404,2020-03-27 01:07:09,2020-04-15T23:26:47Z,
494,14,https://www.iii.org/insuranceindustryblog/tag/isaac/,"Isaac | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",258,21,http://disastersafety.org/blog/hurricane-andrew-reminds-us-of-the-impacts-just-one-storm-can-have/,Dofollow,,A post over at the Disaster Safety Blog,(official blog of the Insurance Institute for Business & Home,404,2020-04-08 16:30:41,2020-03-27T13:18:06Z,
495,14,https://www.iii.org/insuranceindustryblog/tag/distracted-driving/,"Distracted Driving | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",251,32,https://www.iihs.org/news/detail/texting-bans-dont-reduce-crashes-effects-are-slight-crash-increases,Dofollow,"four states (California, Louisiana, Minnesota and Washington) also found that",texting bans may not reduce crash rates,". Collisions went up slightly in all the states, except",404,2020-04-12 11:55:58,2020-04-04T22:59:24Z,
495,14,https://www.iii.org/insuranceindustryblog/tag/distracted-driving/,"Distracted Driving | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",251,32,https://investor.shareholder.com/erie/releasedetail.cfm?ReleaseID=754063,Dofollow,,ErieÃ¢â‚¬â„¢s analysis,found that 62 percent of distracted drivers involved in fatal,404,2020-04-08 10:33:43,2020-04-04T22:59:24Z,
496,14,https://www.iii.org/insuranceindustryblog/insurtech-outlook-positive/,"InsurTech: Outlook Positive | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",235,15,https://home.kpmg/xx/en/home/insights/2016/03/the-pulse-of-fintech-q1-2016.html,Dofollow,,"At the same time, fintech areas that have emerged over the past year (particularly blockchain) may receive more scrutiny as investors assess when and if investments will deliver returns.”",,404,2020-03-31 12:35:24,2020-04-12T08:50:47Z,
496,14,https://www.iii.org/insuranceindustryblog/insurtech-outlook-positive/,"InsurTech: Outlook Positive | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",235,15,https://paymaster.co/category/insurtech/,Dofollow,stories on InsurTech over at the I.I.I. Insuring California blog,here,.,404,2020-03-31 09:55:19,2020-04-12T08:50:47Z,
497,14,https://www.iii.org/insuranceindustryblog/what-insurers-can-learn-from-errant-forecasts/,"What Insurers Can Learn From Errant Forecasts | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",242,13,https://www.insurancetech.com/expert-all-predictive-models-are-wrong/d/d-id/1310839,Dofollow,"insurer that over-relies on cat models, something cat modelers themselves",say regularly,.,404,2020-04-06 20:18:43,2020-04-15T02:38:44Z,
498,14,https://www.iii.org/insuranceindustryblog/health-care-reform-and-impacts-for-pc-industry/,"Health Care Reform and Potential Impact on P/C Industry | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,8,http://redcedaragency.com/risk-management-consulting-quote/,Nofollow,,risk management consulting,,404,2020-03-30 19:36:38,2020-03-22T12:37:30Z,
499,14,https://www.iii.org/press-release/one-year-anniversary-of-japan-earthquake-and-tsunami-is-a-reminder-that-businesses-need-better-risk-management-and-supply-chain-coverage-030812,One-Year Anniversary of Japan Earthquake and Tsunami Is a Reminder That Businesses Need Better Risk Management and Supply Chain Coverage | III,67,10,http://disastersafety.org/ofbInfo?execution=e3s1,Dofollow,IBHS,Open for Business Continuity Plan,,404,2020-03-31 10:51:27,2020-04-05T01:59:07Z,
500,14,https://www.iii.org/insuranceindustryblog/american-dream-on-pause/,"American Dream on Pause | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",235,8,https://www.metlife.com/dream/,Dofollow,led to a reevaluation of priorities for most Americans. The,third annual MetLife study,finds that amid the economic crisis individuals are placing a,404,2020-03-21 15:18:14,2020-03-31T04:37:07Z,
501,14,https://www.iii.org/insuranceindustryblog/cyber-losses-vs-property-losses/,"Cyber Losses vs. Property Losses | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,7,https://www.aon.com/risk-services/thought-leadership/2015-global-cyber-impact-report.jsp,Dofollow,These are the striking findings of a,new Ponemon Institute survey sponsored by Aon,.,404,2020-04-04 23:46:38,2020-03-22T18:48:19Z,
502,14,https://www.iii.org/press-release/experts-analysis-and-research-on-cyber-risks-and-insurance-available-from-the-iii-102014,"Experts, Analysis and Research on Cyber Risks and Insurance Available From The I.I.I. | III",79,23,https://www.fbi.gov/scams-and-safety/common-fraud-schemes/fraud,Dofollow,,Federal Bureau of Investigation: Tips for Avoiding Identity Theft,,404,2020-03-15 05:56:33,2020-04-10T06:48:34Z,
503,14,https://www.iii.org/insuranceindustryblog/tag/tianjin/,"Tianjin | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,4,https://www.swissre.com/media/news_releases/Global_insured_losses_from_disasters_reach_USD_37_billion_in_2015.html,Dofollow,,"“The event shows the large loss potential in a country like China, with a fast-growing economy. If further evidence is needed, in 2013 a fire at a major high-tech semiconductor plant in Wuxi, also in China, caused insured losses of USD 0.9 billion.”",,404,2020-04-11 12:04:45,2020-04-11T04:36:15Z,
504,14,https://www.iii.org/insuranceindustryblog/tag/trade-credit/,"Trade Credit | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",242,7,https://www.canadianunderwriter.ca/news/no-new-political-risk-coverage-being-written-in-ukraine-marsh/1002958899/,Dofollow,Canadian Underwriterreported on the story,here,.,404,2020-04-15 18:06:11,2020-04-11T10:28:54Z,
505,14,https://www.iii.org/insuranceindustryblog/running-on-automatic/,"Running on Automatic | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",241,7,http://workerscompinsider.com/archives/001071.html,Dofollow,may also be a liability. Our fellow bloggers over at,Workers Comp Insider,observe that the problem may lie in the concept of,404,2020-03-13 17:58:17,2020-04-11T14:23:00Z,
506,14,https://www.iii.org/insuranceindustryblog/emerging-challenges/,"Emerging Challenges | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",235,7,https://www.rand.org/publications/randreview/issues/summer2008/horizon.html,Dofollow,next five years. Published in the Summer edition of the,RAND Review,", the essays touch on a range of topics on",404,2020-04-15 01:57:47,2020-04-07T07:36:20Z,
